symbol,feature_set,horizon,date,model_name,prediction,actual,selected_k,predicted_regime
SPX,atm_term,20,2019-10-28,atm_iv,0.139691916351628,0.1482103859723274,,
SPX,atm_term,20,2019-10-28,historical_mean,0.1506246324046222,0.1482103859723274,,
SPX,atm_term,20,2019-10-28,trailing_realized_vol,0.1641152681506499,0.1482103859723274,,
SPX,atm_term,20,2019-10-28,linear_features,0.1507242602691508,0.1482103859723274,,
SPX,atm_term,20,2019-10-28,gmm_regime_mean,0.1506489100258302,0.1482103859723274,2.0,0.0
SPX,atm_term,20,2019-10-29,atm_iv,0.1400382413265553,0.1349091140825196,,
SPX,atm_term,20,2019-10-29,historical_mean,0.1506246324046222,0.1349091140825196,,
SPX,atm_term,20,2019-10-29,trailing_realized_vol,0.1703572515528714,0.1349091140825196,,
SPX,atm_term,20,2019-10-29,linear_features,0.1512787155203095,0.1349091140825196,,
SPX,atm_term,20,2019-10-29,gmm_regime_mean,0.1506489100258302,0.1349091140825196,2.0,0.0
SPX,atm_term,20,2019-10-30,atm_iv,0.1379486861067811,0.1531789970829342,,
SPX,atm_term,20,2019-10-30,historical_mean,0.1506246324046222,0.1531789970829342,,
SPX,atm_term,20,2019-10-30,trailing_realized_vol,0.1697971018005777,0.1531789970829342,,
SPX,atm_term,20,2019-10-30,linear_features,0.1503178770699245,0.1531789970829342,,
SPX,atm_term,20,2019-10-30,gmm_regime_mean,0.1506489100258302,0.1531789970829342,2.0,0.0
SPX,atm_term,20,2019-10-31,atm_iv,0.1358345292196733,0.1543154514867917,,
SPX,atm_term,20,2019-10-31,historical_mean,0.1506246324046222,0.1543154514867917,,
SPX,atm_term,20,2019-10-31,trailing_realized_vol,0.1699368035563728,0.1543154514867917,,
SPX,atm_term,20,2019-10-31,linear_features,0.1505623379625945,0.1543154514867917,,
SPX,atm_term,20,2019-10-31,gmm_regime_mean,0.1506489100258302,0.1543154514867917,2.0,0.0
SPX,atm_term,20,2019-11-01,atm_iv,0.1372790245942251,0.1542369655389294,,
SPX,atm_term,20,2019-11-01,historical_mean,0.1506246324046222,0.1542369655389294,,
SPX,atm_term,20,2019-11-01,trailing_realized_vol,0.1713872782413715,0.1542369655389294,,
SPX,atm_term,20,2019-11-01,linear_features,0.1503152968499144,0.1542369655389294,,
SPX,atm_term,20,2019-11-01,gmm_regime_mean,0.1506489100258302,0.1542369655389294,2.0,0.0
SPX,atm_term,20,2019-11-04,atm_iv,0.13918317955633,0.1452179622750866,,
SPX,atm_term,20,2019-11-04,historical_mean,0.1506612544011683,0.1452179622750866,,
SPX,atm_term,20,2019-11-04,trailing_realized_vol,0.1760055447287931,0.1452179622750866,,
SPX,atm_term,20,2019-11-04,linear_features,0.1508140961980943,0.1452179622750866,,
SPX,atm_term,20,2019-11-04,gmm_regime_mean,0.1506467940115819,0.1452179622750866,2.0,0.0
SPX,atm_term,20,2019-11-05,atm_iv,0.1405950186677018,0.1461948561279378,,
SPX,atm_term,20,2019-11-05,historical_mean,0.1506612544011683,0.1461948561279378,,
SPX,atm_term,20,2019-11-05,trailing_realized_vol,0.1682999995761182,0.1461948561279378,,
SPX,atm_term,20,2019-11-05,linear_features,0.150961736702054,0.1461948561279378,,
SPX,atm_term,20,2019-11-05,gmm_regime_mean,0.1506467940115819,0.1461948561279378,2.0,0.0
SPX,atm_term,20,2019-11-06,atm_iv,0.1359621812399802,0.1438727789803031,,
SPX,atm_term,20,2019-11-06,historical_mean,0.1506612544011683,0.1438727789803031,,
SPX,atm_term,20,2019-11-06,trailing_realized_vol,0.1538724459349922,0.1438727789803031,,
SPX,atm_term,20,2019-11-06,linear_features,0.1502163803540799,0.1438727789803031,,
